mC mH tb Zd Ze
3516.2776 1825.09 1.5 0 0
3516.2776 1325.09 1.5 0 0
3616.2776 225.09 1.5 3.51281e-06 0
3616.2776 325.09 1.5 0 0
3616.2776 425.09 1.5 0 0
3516.2776 1925.09 1.5 0 0
3316.2776 1225.09 1.5 0 0
3616.2776 3025.09 1.5 0 0
3516.2776 725.09 1.5 0 0
3616.2776 3125.09 1.5 0 0
3616.2776 1725.09 1.5 0 0
3616.2776 2925.09 1.5 0 0
3616.2776 1625.09 1.5 0 0
3516.2776 625.09 1.5 0 0
3516.2776 525.09 1.5 0 0
3516.2776 125.09 1.5 0 0
3416.2776 3325.09 1.5 0 0
3616.2776 3225.09 1.5
3616.2776 2825.09 1.5 0 0
3616.2776 2525.09 1.5 0 0
3616.2776 2625.09 1.5 0 0
3616.2776 2725.09 1.5 0 0
3716.2776 925.09 1.5 0 0
3716.2776 1725.09 1.5 0 0
3716.2776 1025.09 1.5 0 0
3716.2776 1825.09 1.5 0 0
3816.2776 1125.09 1.5 7.83545e-06 0
3716.2776 125.09 1.5 7.83545e-06 0
3716.2776 225.09 1.5 0 0
3816.2776 1025.09 1.5 7.83545e-06 0
3716.2776 1125.09 1.5 0 0
3816.2776 825.09 1.5 7.83545e-06 0
3816.2776 625.09 1.5 7.83545e-06 0
3816.2776 125.09 1.5 0 0
3816.2776 725.09 1.5 7.83545e-06 0
3816.2776 925.09 1.5 7.83545e-06 0
3816.2776 425.09 1.5 7.83545e-06 0
3816.2776 225.09 1.5 0 0
3716.2776 3625.09 1.5 0 0
3716.2776 2525.09 1.5 0 0
3716.2776 1625.09 1.5 0 0
3816.2776 325.09 1.5 7.83545e-06 0
3816.2776 1225.09 1.5 7.83545e-06 0
3716.2776 1225.09 1.5 0 0
3716.2776 1525.09 1.5 0 0
3816.2776 1325.09 1.5 7.83545e-06 0
3716.2776 325.09 1.5 0 0
3716.2776 1325.09 1.5 0 0
3716.2776 425.09 1.5 0 0
3716.2776 525.09 1.5 0 0
3716.2776 2925.09 1.5 0 0
3716.2776 1425.09 1.5 0 0
3716.2776 2825.09 1.5 0 0
3716.2776 2725.09 1.5 0 0
3716.2776 3325.09 1.5 0 0
3716.2776 3425.09 1.5 0 0
3716.2776 3225.09 1.5 0 0
3716.2776 3125.09 1.5 0 0
3716.2776 1925.09 1.5 0 0
3716.2776 3525.09 1.5 0 0
3716.2776 2025.09 1.5 0 0
3716.2776 3025.09 1.5 0 0
3716.2776 2425.09 1.5 0 0
3716.2776 2325.09 1.5 0 0
3716.2776 2125.09 1.5 0 0
3716.2776 2225.09 1.5 0 0
3716.2776 725.09 1.5 0 0
3716.2776 625.09 1.5 0 0
3716.2776 825.09 1.5 0 0
3916.2776 1225.09 1.5 0 0
3916.2776 325.09 1.5 0 0
3916.2776 1625.09 1.5 0 0
3916.2776 1825.09 1.5 0 0
3916.2776 1425.09 1.5 0 0
3916.2776 3625.09 1.5 0 0
3916.2776 3725.09 1.5 0 0
3916.2776 3825.09 1.5 0 0
3916.2776 2625.09 1.5 0 0
3916.2776 3325.09 1.5 0 0
3916.2776 2525.09 1.5 0 0
3916.2776 3225.09 1.5 0 0
3816.2776 525.09 1.5 7.83545e-06 0
3816.2776 1525.09 1.5 7.83545e-06 0
4016.2776 525.09 1.5 0 0
3816.2776 3725.09 1.5 7.83545e-06 0
3816.2776 1925.09 1.5 7.83545e-06 0
3916.2776 125.09 1.5 0 0
3916.2776 1325.09 1.5 0 0
3916.2776 1725.09 1.5 0 0
3816.2776 2025.09 1.5 7.83545e-06 0
3916.2776 225.09 1.5 0 0
3916.2776 1925.09 1.5 0 0
3916.2776 1125.09 1.5 0 0
3916.2776 1525.09 1.5 0 0
4016.2776 425.09 1.5 0 0
3916.2776 2425.09 1.5 0 0
4016.2776 225.09 1.5 0 0
3816.2776 2125.09 1.5 7.83545e-06 0
4016.2776 2225.09 1.5 0 0
3916.2776 2025.09 1.5 0 0
3816.2776 1625.09 1.5 7.83545e-06 0
3916.2776 3525.09 1.5 0 0
3916.2776 3425.09 1.5 0 0
4016.2776 125.09 1.5 0 0
4016.2776 625.09 1.5 0 0
4016.2776 1025.09 1.5 0 0
4016.2776 1925.09 1.5 0 0
4016.2776 2125.09 1.5 0 0
4016.2776 1125.09 1.5 0 0
3916.2776 925.09 1.5 0 0
4016.2776 925.09 1.5 0 0
4016.2776 2025.09 1.5 0 0
3816.2776 1725.09 1.5 7.83545e-06 0
4016.2776 1825.09 1.5 0 0
4016.2776 725.09 1.5 0 0
3916.2776 1025.09 1.5 0 0
4016.2776 2425.09 1.5 0 0
3816.2776 1825.09 1.5 7.83545e-06 0
3816.2776 3225.09 1.5 7.83545e-06 0
4016.2776 2325.09 1.5 0 0
3816.2776 3325.09 1.5 7.83545e-06 0
4016.2776 825.09 1.5 0 0
3916.2776 425.09 1.5 0 0
3816.2776 2825.09 1.5 7.83545e-06 0
3816.2776 2925.09 1.5 7.83545e-06 0
3816.2776 3025.09 1.5 7.83545e-06 0
3916.2776 3125.09 1.5 0 0
3916.2776 725.09 1.5 0 0
3916.2776 2725.09 1.5 0 0
3916.2776 625.09 1.5 0 0
3916.2776 525.09 1.5 0 0
3816.2776 2725.09 1.5 7.83545e-06 0
3916.2776 825.09 1.5 0 0
3816.2776 2625.09 1.5 7.83545e-06 0
3816.2776 1425.09 1.5 7.83545e-06 0
3816.2776 2525.09 1.5 7.83545e-06 0
3816.2776 2225.09 1.5 7.83545e-06 0
3616.2776 3525.09 1.5 0 0
3816.2776 2325.09 1.5 7.83545e-06 0
3816.2776 2425.09 1.5 7.83545e-06 0
3816.2776 3425.09 1.5 7.83545e-06 0
3816.2776 3525.09 1.5 7.83545e-06 0
3816.2776 3625.09 1.5 7.83545e-06 0
3616.2776 3425.09 1.5 0 0
3816.2776 3125.09 1.5 7.83545e-06 0
4016.2776 1725.09 1.5 0 0
4016.2776 1325.09 1.5 0 0
4016.2776 1225.09 1.5 0 0
4016.2776 1625.09 1.5 0 0
4016.2776 1425.09 1.5 0 0
4016.2776 1525.09 1.5 0 0
3916.2776 2125.09 1.5 0 0
3916.2776 2325.09 1.5 0 0
3916.2776 2925.09 1.5 0 0
3916.2776 2225.09 1.5
4016.2776 2825.09 1.5 0 0
4016.2776 3825.09 1.5 0 0
4016.2776 2625.09 1.5 0 0
4016.2776 2525.09 1.5 0 0
4016.2776 3125.09 1.5 0 0
4016.2776 3925.09 1.5 0 0
4016.2776 2725.09 1.5 0 0
4016.2776 3225.09 1.5 0 0
4016.2776 3025.09 1.5 0 0
3916.2776 2825.09 1.5 0 0
4016.2776 3325.09 1.5 0 0
3916.2776 3025.09 1.5 0 0
4016.2776 2925.09 1.5 0 0
4016.2776 3625.09 1.5 0 0
4016.2776 3525.09 1.5 0 0
4016.2776 3725.09 1.5 0 0
4016.2776 3425.09 1.5 0 0
